symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
BOND,SELL,LIMIT,IOC,841.4,1.406822,1.425000,FILLED,468.6,841.4,1721385813242,1183.7000308
BOND,SELL,LIMIT,IOC,3343.6,1.404955,1.426692,FILLED,75.9,3343.6,1721385818184,4697.607537999999
WLD,BUY,LIMIT,IOC,130,2.6260053,2.6108000,FILLED,46,130,1721385835506,341.380689
WLD,BUY,LIMIT,IOC,15,2.6273887,2.6130000,FILLED,15,15,1721385837131,39.4108305
WLD,BUY,LIMIT,IOC,554,2.6288391,2.6118000,FILLED,168,554,1721385840275,1456.3768614
SOL,BUY,LIMIT,IOC,61,163.1606,162.3546,FILLED,18,61,1721385840508,9952.7966
WLD,BUY,LIMIT,IOC,255,2.6291815,2.6136000,FILLED,142,255,1721385852266,670.4412825
IO,BUY,LIMIT,IOC,51.2,2.8482888,2.8080000,FILLED,14.9,51.2,1721385861047,145.83238656
BOND,SELL,LIMIT,IOC,232.3,1.403106,1.426000,FILLED,181.8,232.3,1721385865311,325.9415238
IO,BUY,LIMIT,IOC,72.3,2.8517673,2.8100000,FILLED,72.3,72.3,1721385877324,206.18277579
