timestamp,action,price,balance_usdt,balance_btc,total_balance
2024-06-16,Sell,66676.87,1005,999.999925011477,64027730.19873009
2024-06-17,Sell,66504.33,1010,999.9998498284025,64027730.38500368
2024-06-18,Sell,65175.32,1015,999.9997731122468,64027730.47311909
2024-06-19,Sell,64974.37,1020,999.9996961588265,64027730.546043225
2024-06-20,Sell,64869.99,1025,999.9996190815832,64027730.61103938
2024-06-21,Sell,64143.56,1030,999.9995411314351,64027730.62014629
2024-06-22,Sell,64262.01,1035,999.9994633249675,64027730.6384526
2024-06-23,Sell,63210.01,1040,999.999384223572,64027730.5738489
2024-06-24,Sell,60293.3,1045,999.9993012956181,64027730.26424319
2024-06-25,Sell,61806.01,1050,999.9992203973366,64027730.08459076
2024-06-26,Sell,60864.99,1055,999.9991382483047,64027729.82485688
2024-06-27,Sell,61706.47,1060,999.9990572195244,64027729.63684904
2024-06-28,Sell,60427.84,1065,999.9989744762061,64027729.33906494
2024-06-29,Sell,60986.68,1070,999.9988924910906,64027729.08982609
2024-06-30,Sell,62772.01,1075,999.9988128377547,64027728.98988346
2024-07-01,Sell,62899.99,1080,999.9987333464861,64027728.90031747
2024-07-02,Sell,62135.47,1085,999.9986528771503,64027728.74812903
2024-07-03,Sell,60208.58,1090,999.9985698325079,64027728.43105213
2024-07-04,Sell,57050.01,1095,999.9984821901044,64027727.81959563
2024-07-05,Sell,56628.79,1100,999.9983938957932,64027727.166399606
2024-07-06,Sell,58230.13,1105,999.9983080295931,64027726.66866759
2024-07-07,Sell,55857.81,1110,999.9982185165957,64027725.93744308
2024-07-08,Sell,56714.62,1115,999.9981303559063,64027725.292802416
2024-07-09,Sell,58050.0,1120,999.998044223262,64027724.77801086
2024-07-10,Sell,57725.85,1125,999.9979576069541,64027724.2322519
2024-07-11,Sell,57339.89,1130,999.9978704076239,64027723.649163924
2024-07-12,Sell,57889.1,1135,999.997784035578,64027723.11904427
2024-07-13,Sell,59204.02,1140,999.9976995818533,64027722.71174844
2024-07-14,Buy,60797.91,1135,999.9977818215224,64027722.97728553
2024-07-15,Buy,64724.14,1130,999.9978590724522,64027722.92340995
2024-07-16,Buy,65043.99,1125,999.9979359435052,64027722.84521211
2024-07-17,Buy,64087.99,1120,999.998013961243,64027722.84043274
2024-07-18,Buy,63987.92,1115,999.9980921009919,64027722.84346534
2024-07-19,Buy,66660.0,1110,999.9981671084927,64027722.64595035
2024-07-20,Buy,67139.96,1105,999.9982415797912,64027722.41410407
2024-07-21,Buy,68165.34,1100,999.998314930852,64027722.110532634
2024-07-22,Buy,67532.01,1095,999.9983889698151,64027721.85100533
2024-07-23,Buy,65936.01,1090,999.9984648009125,64027721.706222534
2024-07-24,Buy,65376.0,1085,999.9985412815782,64027721.60302947
2024-07-25,Buy,64026.73,1080,999.9986193739625,64027721.60302947
